Id,SalePrice
2658,132699.4616929901
2718,148581.38931630968
2414,200093.129996194
1989,113955.62913259993
625,168689.36085377945
333,91849.22411451521
1327,114717.64363932608
858,147206.2488439273
95,177609.26818442083
1568,172986.619050417
2482,156746.437139602
1364,119857.15276820482
2584,142221.50277257882
818,266596.34607387375
2673,157806.1510050421
2089,128752.6983866449
1297,150345.59608847552
790,120679.2243838084
2616,198792.80520695646
720,181837.07413890358
222,145755.25575705903
557,133724.1143679921
1148,187210.60814426982
2766,173701.97880105575
534,177995.0785984651
1452,119422.64327991098
630,143477.0386441104
2648,124872.32404660691
125,151011.82748826378
1904,57101.29216323977
1670,108055.86667687335
756,103676.6717885029
717,234644.76214129664
1032,154849.37115917754
852,211579.63598229602
1731,171698.05272699558
2639,112497.52437458135
2071,97225.10681195595
1267,128696.3534240971
1851,192425.09106518404
567,160274.25694006326
2439,212149.7152933586
1898,148555.8270365079
647,164546.86578027374
2256,234766.17296151016
979,102011.33817560243
1444,217456.06738882445
2485,129316.60898748963
157,127310.64858751268
88,129278.5134006327
2003,113196.53208144834
186,201034.54277935572
1425,236064.355671293
2695,128655.78779046975
738,117724.70929481913
395,145299.44402084558
1353,180398.537102832
1878,146788.09962311364
390,159345.6850781427
1456,233631.63539772297
1103,328531.3726565471
1387,127265.34646410822
2070,150825.232334695
1199,181047.998650027
2479,174915.36734262953
501,310259.440381747
2362,103230.16168176595
1718,181614.31821557335
2188,82175.94278513179
1483,148055.4686169912
2557,79851.01040641378
437,348036.05177947966
2224,189444.760413505
1628,165175.35557528643
397,138170.94190405947
587,189493.32061475146
2182,361513.68355965306
971,138009.13612970774
2611,143717.01632691151
1887,108675.15327612922
2399,365129.0688228757
2148,192337.64707497598
304,117213.06525723638
1997,127310.66816917538
2817,116396.21661582455
1431,207876.46357930606
427,355581.7936832931
263,124625.57020444857
598,170772.24325578712
2895,235291.95944579103
687,137920.34064554074
1822,131563.40397781588
2191,106729.05777266275
179,115177.8764648991
1009,197196.63438438255
2010,125966.53148750342
1991,141062.76103575708
1411,146599.5410596165
1721,213029.27056045644
1144,190471.41550367005
593,212561.03917341665
575,302949.64856724517
1249,176264.39793738356
1604,128414.15115327838
1064,492718.0416906476
1923,149881.31714468135
1988,107291.15065923781
2325,174832.2145140603
114,199238.7537628095
2700,162339.94448790015
217,126283.01906347137
343,173474.5848235498
386,224689.23724239337
2005,131765.4201189746
2908,152593.97550055018
1814,253781.67408339356
2446,433979.626904385
208,147822.1609920659
1679,121726.37842080125
822,335838.695450866
6,187723.52497643084
1781,403902.64264207875
2397,289571.00347449316
2340,304326.56358086516
1618,180068.38858932533
2843,113475.32206004349
1061,364724.2846255172
2786,122380.84145820182
1935,135785.32226159045
1341,115450.47552985871
521,267506.61632562714
2136,142571.54543728294
996,200631.3762798077
227,157831.5624334302
135,152447.82461724008
1167,171996.755582759
294,224068.16536044618
1776,198642.2478785588
540,162156.2960360862
1717,183683.0281932032
2303,133849.6744929648
116,173201.0279095231
127,134317.36476311443
1371,133906.15585506437
1014,147722.15140432402
1507,113810.93466885143
702,126912.00660203313
750,154698.4220244012
261,148716.29106270405
1559,70829.82765071634
577,232746.05543938157
2812,199259.33733127173
2080,149723.31843298706
1368,107718.96324722767
2376,131432.50189968396
659,112405.7028798491
1235,134673.95164420689
332,80133.18631662396
1917,136980.06013361237
2094,263401.420629168
1460,266749.57681290916
1471,201289.8470571264
1509,126244.56462025554
1922,136530.35792519167
433,473686.0706915645
460,254833.4602139759
1116,232802.66889725873
1137,158097.78278623865
53,168639.52512715652
2354,249209.0246448526
1475,190749.01620278985
1761,414376.28785577236
842,146255.2068074595
2739,172952.9347889711
2509,149303.97419977598
1007,203834.97992698805
2610,178584.49997007812
1952,93574.99118659963
2719,153830.96023183526
2921,86901.52273326542
1966,144554.35512818425
292,105148.46985754852
1204,190374.87706291504
1829,265366.25322840386
2419,179346.24987211195
391,157084.4867124983
798,112605.46112953177
481,188502.96611388322
193,199811.51044182354
555,127488.12678482696
899,70576.11850050387
2357,181990.18085102955
328,122109.46992555092
1356,113151.93560999892
1154,119028.34593016053
1730,174866.6200850719
2249,149115.70090422872
1119,262458.54398650455
2856,143135.19306367752
1394,143378.77187919442
2587,131352.86606632677
61,331396.4206878051
2661,173169.1784914571
2711,130225.56084019228
1147,180997.47482239586
757,129070.83739216768
2623,101141.89289712114
2378,145890.31699811693
1413,138488.29599856836
1722,204526.4455985521
1112,211942.5079943891
1623,195839.09000884776
1201,184703.50898149062
1513,112755.55373316193
957,270180.15349341265
1171,264960.87887091585
1145,200695.72625921952
2726,244837.54791621238
703,140759.78855900557
760,86188.85731828677
1964,138591.87455981993
2512,161713.77384479914
159,141943.73098572556
1281,164327.27630489034
468,173088.52995515268
290,118365.49855406888
665,100858.35370520959
1463,257848.0904537892
1792,223102.72354748572
923,158072.90632255183
500,269983.1062243356
1408,172424.98789318022
331,81219.93403029452
170,120003.9528492677
2192,97887.90654384739
2571,266160.56587989454
2314,176382.26258983323
2647,100960.63415740308
422,473485.7937077529
2457,362665.1656707375
1838,186545.6681813314
2805,241875.48149976187
1645,161710.93371633888
1711,295706.9634765578
2825,239419.36773142565
322,370072.34380494786
2103,249543.92567446452
342,120349.36705581
600,126648.21259345388
488,189296.10612611438
1725,298852.644308186
2246,301389.89573641104
2847,150078.4526037227
806,225112.4366288593
530,227894.60507580452
