Id,SalePrice
2658,7.056701300306164e+233
2718,1.346190115151633e+258
2414,1.036501824726402e+295
1989,6.2212684123191225e+187
625,1.7850417802079197e+232
333,2.792771944269991e+127
1327,1.709362821333489e+193
858,2.5314085445603506e+215
95,6.834443309781041e+170
1568,1.7112038867808324e+229
2482,1.736202760244983e+194
1364,1.2069955692120069e+179
2584,4.710693684822297e+237
818,3.9824648332265625e+277
2673,4.5950233130347515e+253
2089,1.897181009331794e+206
1297,4.869844709575924e+236
790,4.0363309053065954e+206
2616,1.5205119959727586e+268
720,inf
222,3.3888917943164595e+191
557,1.1288832112544157e+192
1148,3.0334510391475074e+220
2766,inf
534,6.077848780384054e+214
1452,1.217123053883245e+174
630,9.666373763410134e+258
2648,1.7209680309081802e+223
125,4.602654236898198e+205
1904,9.832793951692634e+118
1670,2.7204962304676738e+175
756,1.0926498972958839e+173
717,5.853571130399321e+295
1032,2.2598040201193366e+229
852,1.4145258444808682e+247
1731,6.435907594279491e+248
2639,6.9358673719890625e+193
2071,4.27175981766658e+187
1267,5.482708615559149e+183
1851,6.529949815398823e+201
567,2.2282301879105622e+152
2439,1.664698518499566e+253
1898,3.7093512988348137e+202
647,2.019558380690769e+275
2256,3.9860352061790005e+191
979,2.9846988733518424e+132
1444,1.2776644570296349e+256
2485,1.6341895442665259e+189
157,1.6984516387053132e+164
88,1.3797071129522e+193
2003,2.368603251274048e+210
186,4.716826598157986e+245
1425,7.060800952533998e+236
2695,2.1583237700740773e+189
738,5.6825156065127674e+169
395,2.725294844114594e+190
1353,8.783834770189725e+234
1878,3.786710229510582e+222
390,5.18800170487424e+233
1456,8.470391505410822e+255
1103,1.862040372290616e+304
1387,2.3371732522766012e+256
2070,2.72047756328305e+248
1199,1.6549118146056793e+269
2479,4.069255200686817e+205
501,1.4390196311775054e+273
2362,2.040775468914748e+184
1718,5.468641620330136e+179
2188,7.2531772902217405e+140
1483,1.3795394025625395e+153
2557,2.1167513717860186e+148
437,inf
2224,inf
1628,5.264233186338938e+226
397,1.6661596812206776e+199
587,inf
2182,inf
971,inf
2611,2.841128325681109e+220
1887,7.847051866112424e+174
2399,inf
2148,6.991834325403524e+220
304,5.39002761088171e+200
1997,2.1098558504305713e+157
2817,1.9451036872147015e+207
1431,7.00381810117971e+262
427,2.1651441799236347e+295
263,1.8584027036206414e+179
598,1.0590581345536003e+297
2895,inf
687,2.5103721251342353e+205
1822,1.5811122488145514e+190
2191,1.092471250507496e+230
179,3.1563340159980397e+181
1009,2.2599743321755895e+178
2010,8.865539258260483e+177
1991,7.210333818625472e+227
1411,6.967162502001756e+244
1721,7.034328286386412e+187
1144,1.5774641673964398e+223
593,7.791302744056645e+223
575,inf
1249,7.957170069742663e+285
1604,3.9602416964165957e+179
1064,inf
1923,2.9118336770322324e+246
1988,9.049563518759534e+139
2325,1.0412103366809726e+207
114,inf
2700,2.0313073025038143e+269
217,2.934697007153495e+267
343,6.122386007228311e+243
386,1.703049593018735e+220
2005,1.091913751175881e+234
2908,3.941190002351325e+279
1814,inf
2446,inf
208,2.466945014790798e+213
1679,1.3470422781855562e+136
822,1.3135629543709123e+272
6,1.9113660992652063e+238
1781,5.693904249897162e+307
2397,3.5109507713375014e+261
2340,9.098148009170747e+245
1618,1.5132123646583903e+260
2843,1.970379766372412e+214
1061,inf
2786,1.625891015830406e+196
1935,6.900430819203397e+201
1341,1.716252888383598e+164
521,4.687423774306833e+263
2136,4.05777169123157e+199
996,1.5307941640012681e+233
227,1.4548458401081515e+232
135,2.3600033511757454e+237
1167,9.02829241581057e+158
294,3.9590637216263295e+266
1776,4.144356965007159e+226
540,5.3046972506225514e+241
1717,3.731104355958804e+177
2303,7.524947511515777e+216
116,4.0325004106049166e+232
127,2.20401491675616e+202
1371,8.210664787987938e+221
1014,inf
1507,3.157253314290435e+182
702,4.417395081238054e+221
750,9.431790678026198e+218
261,1.7721526422317112e+229
1559,1.5044255990787202e+179
577,3.5880224992851104e+301
2812,2.893890618369058e+249
2080,1.0031664977400247e+242
1368,9.333605541291524e+168
2376,6.4956984728020516e+187
659,1.5436695053460166e+182
1235,1.209371590479446e+196
332,3.2512523367877998e+122
1917,3.241085165115552e+199
2094,2.493007411968802e+282
1460,1.8485038023040396e+256
1471,7.169606553881279e+276
1509,9.759380936562473e+228
1922,7.78373338462916e+204
433,inf
460,1.7030546003788758e+200
1116,7.45486393902831e+242
1137,2.2424826113498286e+257
53,8.858660383068717e+149
2354,1.8399504102126024e+267
1475,8.216803154917172e+228
1761,inf
842,4.5138030633598397e+195
2739,2.521766417354674e+259
2509,6.201377692505748e+136
1007,9.402135950964716e+249
2610,1.5420146704385229e+242
1952,6.66725607308874e+140
2719,6.3857525955273596e+249
2921,6.781563885737958e+126
1966,1.4505801995567134e+207
292,1.058849805073709e+227
1204,5.342782815629264e+252
1829,inf
2419,2.3834994990593596e+213
391,2.182017414160263e+224
798,5.393338467144171e+201
481,1.838136510627223e+221
193,1.4841215743984268e+236
555,9.56808283988474e+196
899,1.4910372377611076e+196
2357,8.716187102157962e+235
328,4.302953879643637e+141
1356,5.13919116287853e+195
1154,1.429132649247066e+167
1730,1.722335563315155e+224
2249,1.6400716700456402e+187
1119,5.065150003117983e+248
2856,3.9693804698505615e+232
1394,1.4852521478365075e+263
2587,1.5596889611193532e+189
61,inf
2661,1.2336500234575013e+220
2711,1.038546692395321e+209
1147,1.4861683304373275e+232
757,8.71583771326026e+175
2623,3.7739228898485616e+172
2378,2.3041996246020222e+148
1413,1.7601436794025993e+208
1722,1.2133538095717882e+194
1112,3.988348977061697e+287
1623,4.295131636962995e+233
1201,7.328666758676183e+238
1513,4.010156014846674e+171
957,inf
1171,7.614079558052446e+197
1145,3.621748161817064e+223
2726,inf
703,2.863823738357374e+152
760,1.562718859881959e+160
1964,4.187098564575298e+189
2512,6.148399809441912e+166
159,1.2704077446609174e+194
1281,6.566628813672439e+214
468,1.6499887675113177e+242
290,1.1028618370209075e+179
665,7.514206294285277e+200
1463,7.363623347758481e+274
1792,7.084010199244673e+243
923,6.718110807366516e+275
500,2.3438286381051817e+272
1408,inf
331,3.814484187943407e+100
170,9.157992709069516e+190
2192,5.29783616053827e+179
2571,inf
2314,1.5287382016562319e+258
2647,2.4200588037595767e+152
422,inf
2457,inf
1838,4.4063434148779045e+171
2805,2.0619321634971656e+299
1645,3.5463279557309265e+233
1711,6.0314461583636894e+287
2825,2.5845838623840285e+274
322,1.635514358222854e+296
2103,6.476367991216122e+247
342,2.7481813248180824e+232
600,5.951696893587305e+182
488,3.618112989282603e+221
1725,1.5244721496153404e+237
2246,2.9931255570598796e+222
2847,6.096707895893823e+219
806,6.945613848285602e+256
530,7.952640371840026e+245
963,1.2679002222756121e+256
2678,7.742754958210276e+172
171,7.891506946547411e+191
2401,inf
805,5.378608669482142e+256
2259,inf
1748,2.432863623756257e+227
1361,2.0088861463124635e+230
1677,4.64012470838505e+136
1406,3.257045736055787e+222
2322,inf
688,9.932635497653288e+214
143,1.141463852137521e+219
804,6.632340696958017e+237
1214,2.266157469509883e+222
2828,3.709373142904499e+153
1999,1.386616420381269e+250
2467,7.558375005811596e+208
2665,2.455316324561487e+207
1538,inf
398,3.0967417501258483e+178
2822,4.213931036250741e+283
2157,3.4494347820199353e+152
1856,2.919183150739938e+295
1269,1.0588768069890434e+173
2570,2.039059248248564e+210
2320,2.03572753099936e+243
1517,1.9742048751248836e+242
2304,5.749447560410138e+210
